"Label Name","Catalog #",UPC,"Release Name","Release Version","Release Artist","Release Date","Release Genre","Release Subgenre",Track,ISRC,"Song Name","Mix Version","Primary Artists","Featuring Artists",Remixers,"Track Length","Song Genre","Song Subgenre"
"Build It Records",BLDR073,811868851709,"Step Outside Remixes",,"Cam Northwest",2015-12-21,Dance,House,1,USLZJ1579600,"Step Outside","JedX Remix","Cam Northwest",,JedX,07:18,Dance,House
"Build It Records",BLDR073,811868851709,"Step Outside Remixes",,"Cam Northwest",2015-12-21,Dance,House,2,USLZJ1579601,"Step Outside","Lex & Wood & Robisto Remix","Cam Northwest",,"Lex & Wood,Robisto",04:44,Dance,"Progressive House"
"Build It Records",BLDR073,811868851709,"Step Outside Remixes",,"Cam Northwest",2015-12-21,Dance,House,3,USLZJ1579602,"Step Outside","Daniels Jack Remix","Cam Northwest",,"Daniels Jack",04:33,Dance,"Deep House"
"Build It Records",BLDR073,811868851709,"Step Outside Remixes",,"Cam Northwest",2015-12-21,Dance,House,4,USLZJ1579603,"Step Outside","Gruv1 Remix","Cam Northwest",,Gruv1,04:50,Dance,"Deep House"
"Build It Records",BLDR073,811868851709,"Step Outside Remixes",,"Cam Northwest",2015-12-21,Dance,House,5,USLZJ1524216,"Step Outside",,"Cam Northwest",,,05:52,Dance,House
"Build It Records",BLDR072,811868843995,"My Soul / Summer Noise",,Rocksted,2015-12-14,Dance,House,1,USLZJ1575550,"My Soul",,Rocksted,,,05:40,Dance,House
"Build It Records",BLDR072,811868843995,"My Soul / Summer Noise",,Rocksted,2015-12-14,Dance,House,2,USLZJ1575551,"Summer Noise",,Rocksted,,,04:57,Dance,House
"Build It Records",BLDR075,811868859446,"Nature EP",,MKJAY,2015-12-14,Dance,House,1,USLZJ1581865,"Bird's Song",,"MKJAY,No Hope",,,05:31,Dance,House
"Build It Records",BLDR075,811868859446,"Nature EP",,MKJAY,2015-12-14,Dance,House,2,USLZJ1581867,"Luv Me",,MKJAY,,,04:26,Dance,"Deep House"
"Build It Records",BLDR070,811868831541,"Habituator EP",,KusKa,2015-12-07,Dance,"Tech House",1,USLZJ1570546,Habituator,,KusKa,,,05:47,Dance,"Tech House"
"Build It Records",BLDR070,811868831541,"Habituator EP",,KusKa,2015-12-07,Dance,"Tech House",2,USLZJ1570547,"Burn Inside",,KusKa,,,05:18,Dance,"Tech House"
"Build It Records",BLDR070,811868831541,"Habituator EP",,KusKa,2015-12-07,Dance,"Tech House",3,USLZJ1570548,Doppleganger,,KusKa,,,05:16,Dance,"Deep House"
"Build It Records",BLDR069,811868829913,"Going On / Got Feelings",,Moustache,2015-11-30,Dance,House,1,USLZJ1569901,"Going On",,Moustache,,,04:24,Dance,House
"Build It Records",BLDR069,811868829913,"Going On / Got Feelings",,Moustache,2015-11-30,Dance,House,2,USLZJ1569902,"Got Feelings",,Moustache,,,04:27,Dance,"Deep House"
"Build It Records",BLDR074,811868852478,Outside,,Moustache,2015-11-25,Dance,House,1,USLZJ1579762,Outside,,Moustache,,,03:41,Dance,House
"Build It Records",BLDR068,811868824543,"Just Say / Escalation",,NiQW,2015-11-23,Dance,"Tech House",1,USLZJ1568659,"Just Say",,NiQW,,,06:54,Dance,"Tech House"
"Build It Records",BLDR068,811868824543,"Just Say / Escalation",,NiQW,2015-11-23,Dance,"Tech House",2,USLZJ1568660,Escalation,,NiQW,,,06:45,Dance,"Tech House"
"Build It Records",BLDR071,811868840345,Snaresbrook,,Den5ity,2015-11-18,Dance,"Tech House",1,USLZJ1574558,Snaresbrook,,Den5ity,,,05:48,Dance,"Tech House"
"Build It Records",BLDR067,811868822525,"Down Remixes",,"Rob Me",2015-11-16,Dance,House,1,USLZJ1567776,Down,"Ben Mono Remix","Rob Me,Frederique",,"Ben Mono",04:43,Dance,"Tech House"
"Build It Records",BLDR067,811868822525,"Down Remixes",,"Rob Me",2015-11-16,Dance,House,2,USLZJ1567778,Down,"FKLS Remix","Rob Me,Frederique",,FKLS,06:19,Dance,House
"Build It Records",BLDR067,811868822525,"Down Remixes",,"Rob Me",2015-11-16,Dance,House,3,USLZJ1567780,Down,"Daniels Jack Remix","Rob Me,Frederique",,"Daniels Jack",04:46,Dance,"Tech House"
"Build It Records",BLDR067,811868822525,"Down Remixes",,"Rob Me",2015-11-16,Dance,House,4,USLZJ1567781,Down,"Mike Kelly SA Remix","Rob Me,Frederique",,"Mike Kelly (SA)",06:35,Dance,"Deep House"
"Build It Records",BLDR067,811868822525,"Down Remixes",,"Rob Me",2015-11-16,Dance,House,5,USLZJ1567783,Down,,"Rob Me,Frederique",,,06:30,Dance,"Tech House"
"Build It Records",BLDR067R,811868838076,"Down Remixes",,"Rob Me",2015-11-16,Dance,House,1,USLZJ1567776,Down,"Ben Mono Remix","Rob Me,Frederique",,"Ben Mono",04:43,Dance,"Tech House"
"Build It Records",BLDR067R,811868838076,"Down Remixes",,"Rob Me",2015-11-16,Dance,House,2,USLZJ1567778,Down,"FKLS Remix","Rob Me,Frederique",,FKLS,06:19,Dance,House
"Build It Records",BLDR067R,811868838076,"Down Remixes",,"Rob Me",2015-11-16,Dance,House,3,USLZJ1567780,Down,"Daniels Jack Remix","Rob Me,Frederique",,"Daniels Jack",04:46,Dance,"Tech House"
"Build It Records",BLDR067R,811868838076,"Down Remixes",,"Rob Me",2015-11-16,Dance,House,4,USLZJ1567781,Down,"Mike Kelly SA Remix","Rob Me,Frederique",,"Mike Kelly (SA)",06:36,Dance,"Deep House"
"Build It Records",BLDR067R,811868838076,"Down Remixes",,"Rob Me",2015-11-16,Dance,House,5,USLZJ1567783,Down,,"Rob Me,Frederique",,,06:30,Dance,"Tech House"
"Build It Records",BLDR064,811868785998,"Music Makes Me / Without You",,"Daniels Jack",2015-10-26,Dance,House,1,USLZJ1555958,"Music Makes Me",,"Daniels Jack",,,04:44,Dance,"Tech House"
"Build It Records",BLDR064,811868785998,"Music Makes Me / Without You",,"Daniels Jack",2015-10-26,Dance,House,2,USLZJ1555959,"Without You",,"Daniels Jack",,,05:17,Dance,"Deep House"
"Build It Records",BLDR062,811868778549,"Vibes On Me / Amon Ra",,E.Quest,2015-10-19,Dance,House,1,USLZJ1553042,"Vibes On Me",,E.Quest,,,06:22,Dance,"Deep House"
"Build It Records",BLDR062,811868778549,"Vibes On Me / Amon Ra",,E.Quest,2015-10-19,Dance,House,2,USLZJ1553043,"Amon Ra",,E.Quest,,,06:14,Dance,House
"Build It Records",BLDR066,811868807621,"Touch & Feel / Big Ben",,Somersault,2015-10-19,Dance,House,1,USLZJ1563092,"Touch & Feel",,Somersault,,,06:57,Dance,"Deep House"
"Build It Records",BLDR066,811868807621,"Touch & Feel / Big Ben",,Somersault,2015-10-19,Dance,House,2,USLZJ1563093,"Big Ben",,Somersault,,,07:27,Dance,"Tech House"
"Build It Records",BLDR063,811868784670,"Give It Up / Take Me Away",,"Soul Steppah",2015-10-14,Dance,"Deep House",1,USLZJ1555523,"Give It Up (feat. JayBeatz)",,"Soul Steppah",JayBeatz,,04:35,Dance,"Deep House"
"Build It Records",BLDR063,811868784670,"Give It Up / Take Me Away",,"Soul Steppah",2015-10-14,Dance,"Deep House",2,USLZJ1555524,"Take Me Away (feat. JayBeatz)",,"Soul Steppah",JayBeatz,,04:18,Dance,"Deep House"
"Build It Records",BLDR065,811868799827,"I Don't Need It",,"Cam Northwest",2015-10-14,Dance,House,1,USLZJ1560283,"I Don't Need It",,"Cam Northwest",,,06:01,Dance,House
"Build It Records",BLDR061,811868766188,"Don't Hold Back",,DJOKO,2015-10-12,Dance,"Tech House",1,USLZJ1548877,"Don't Hold Back",,DJOKO,,,05:17,Dance,"Tech House"
"Build It Records",BLDR059,811868762975,"Pendulum / Waters Inn",,"Jaques Le Noir",2015-10-05,Dance,House,1,USLZJ1547758,Pendulum,,"Jaques Le Noir",,,03:40,Dance,House
"Build It Records",BLDR059,811868762975,"Pendulum / Waters Inn",,"Jaques Le Noir",2015-10-05,Dance,House,2,USLZJ1547759,"Waters Inn",,"Jaques Le Noir",,,03:40,Dance,House
"Build It Records",BLDR058,811868762968,"What I Really Need",,"Lex & Wood",2015-09-30,Dance,"Deep House",1,USLZJ1547742,"What I Really Need",,"Lex & Wood",,,05:09,Dance,"Deep House"
"Build It Records",BLDR057,811868762883,"The Way You Groove",,WAGS,2015-09-28,Dance,"Deep House",1,USLZJ1547728,"The Way You Groove",,WAGS,,,05:16,Dance,"Deep House"
"Build It Records",BLDR060,811868766102,"Build It Records: The Collection, Vol. 2",,"Various Artists",2015-09-23,Dance,House,2,USLZJ1548834,Down,,"Rob Me,Frederique",,,06:30,Dance,"Tech House"
"Build It Records",BLDR060,811868766102,"Build It Records: The Collection, Vol. 2",,"Various Artists",2015-09-23,Dance,House,3,USLZJ1548836,Troubles,"Dark Mix",TUSK,,,05:19,Dance,House
"Build It Records",BLDR060,811868766102,"Build It Records: The Collection, Vol. 2",,"Various Artists",2015-09-23,Dance,House,1,USLZJ1548837,Breathe,,"MKLY (SA)",,,06:15,Dance,"Tech House"
"Build It Records",BLDR060,811868766102,"Build It Records: The Collection, Vol. 2",,"Various Artists",2015-09-23,Dance,House,4,USLZJ1548839,"Cocaine Bar",,FKLS,,,06:00,Dance,"Tech House"
"Build It Records",BLDR060,811868766102,"Build It Records: The Collection, Vol. 2",,"Various Artists",2015-09-23,Dance,House,5,USLZJ1548842,"Don't Wanna Stop",,"JOE MACC",,,05:17,Dance,"Deep House"
"Build It Records",BLDR060,811868766102,"Build It Records: The Collection, Vol. 2",,"Various Artists",2015-09-23,Dance,House,6,USLZJ1548843,"The Bay",,"Rob Me",,,06:30,Dance,House
"Build It Records",BLDR060,811868766102,"Build It Records: The Collection, Vol. 2",,"Various Artists",2015-09-23,Dance,House,7,USLZJ1548844,"The Thought Of You",,Transcode,,,06:15,Dance,House
"Build It Records",BLDR060,811868766102,"Build It Records: The Collection, Vol. 2",,"Various Artists",2015-09-23,Dance,House,8,USLZJ1548846,"Frequency Test",,"Frederique,Aaron Jackson",,,05:24,Dance,"Tech House"
"Build It Records",BLDR060,811868766102,"Build It Records: The Collection, Vol. 2",,"Various Artists",2015-09-23,Dance,House,9,USLZJ1548847,"I've Found Something",,"James Zed",,,05:00,Dance,House
"Build It Records",BLDR060,811868766102,"Build It Records: The Collection, Vol. 2",,"Various Artists",2015-09-23,Dance,House,10,USLZJ1548849,Crystals,,"Dude Dempsey",,,04:33,Dance,House
"Build It Records",BLDR060,811868766102,"Build It Records: The Collection, Vol. 2",,"Various Artists",2015-09-23,Dance,House,11,USLZJ1548850,"Want You",,"Daniels Jack",,,04:29,Dance,"Deep House"
"Build It Records",BLDR060,811868766102,"Build It Records: The Collection, Vol. 2",,"Various Artists",2015-09-23,Dance,House,12,USLZJ1548853,"Love You No More",,"Dene Antony",,,06:41,Dance,"Deep House"
